Wave Flux Noise
0.45 0.912 0.032
0.5 0.948 0.033
0.55 1.01 0.024
0.6 1.052 0.027999999999999997
0.65 1.084 0.037000000000000005
0.7 1.107 0.039
0.75 1.1159999999999999 0.037000000000000005
0.8 1.1159999999999999 0.037000000000000005
0.85 1.115 0.042
0.9 1.121 0.048
0.95 1.131 0.052000000000000005
1.0 1.1420000000000001 0.054000000000000006
1.05 1.15 0.054000000000000006
1.1 1.157 0.055999999999999994
1.15 1.1640000000000001 0.057999999999999996
1.2 1.172 0.059000000000000004
1.25 1.18 0.06
1.3 1.186 0.06
1.35 1.193 0.059000000000000004
1.4 1.198 0.057
1.45 1.202 0.054000000000000006
1.5 1.204 0.053
1.55 1.209 0.053
1.6 1.213 0.053
1.65 1.218 0.054000000000000006
1.7 1.2209999999999999 0.054000000000000006
1.75 1.226 0.055
1.8 1.23 0.055999999999999994
1.85 1.2329999999999999 0.057
1.9 1.237 0.057999999999999996
1.95 1.239 0.06
2.0 1.2409999999999999 0.061
2.05 1.242 0.062
2.1 1.2429999999999999 0.062
2.15 1.244 0.063
2.2 1.2429999999999999 0.063
2.25 1.242 0.064
2.3 1.24 0.065
2.35 1.237 0.065
2.4 1.2329999999999999 0.067
2.45 1.2229999999999999 0.076
