SOURCE_KEY	NAME	DESIGNATION	RA	DEC	DISCOVERY_REFERENCE	OPT_TYPE	OPT_TYPE_REF	NIR_TYPE	NIR_TYPE_REF	LIT_TYPE	LIT_TYPE_REF	OBJECT_TYPE	J_2MASS	J_2MASS_E	H_2MASS	H_2MASS_E	KS_2MASS	KS_2MASS_E	JK_EXCESS	COLOR_EXTREMITY	LUMINOSITY_CLASS	METALLICITY_CLASS	GRAVITY_CLASS_OPTICAL	GRAVITY_CLASS_OPTICAL_REF	GRAVITY_CLASS_NIR	GRAVITY_CLASS_NIR_REF	CLUSTER	CLUSTER_REF	LIBRARY	BINARY	BINARY_REF	SBINARY	SBINARY_REF	COMPANION_NAME	COMPANION_REF	SIMBAD_OTYPE	SIMBAD_NAME	SIMBAD_SPT	SIMBAD_SPT_REF	SIMBAD_SEP	PARALLAX	PARALLAX_E	PARALLEX_REF	DISTANCE_PHOT	DISTANCE_PHOT_E	DISTANCE	DISTANCE_E	MU	MU_E	MU_RA	MU_DEC	MU_REF	VTAN	VTAN_E	RV	RV_E	RV_REF	VSINI	VSINI_E	VSINI_REF	NOTE
10001	SDSS J000013.54+255418.6	J00001354+2554180	0.056416664	25.904999	2004AJ....127.3553K			T4.5	2006ApJ...637.1067B	T4.5	2006ApJ...637.1067B	VLM	15.063	0.041	14.731	0.074	14.836	0.12	-0.04																	brownD*	2MASS J00001354+2554180	T4.5	2009AJ....137....1F		70.8	1.9	2012ApJS..201...19D			14.124	0.379	130.14	29.07	6	130	2008MNRAS.384.1399J	8.712654782	1.960132342							
10002	2MASS J0000286-124515	J00002867-1245153	0.11945834	-12.75425	2007AJ....133..439C	M8.5	2007AJ....133..439C			M8.5	2007AJ....133..439C	VLM	13.2	0.026	12.445	0.023	11.973	0.023	-0.01						FLD-G	SPL										brownD*	2MASSI J0000286-124515	M8.5	2004ApJ...604L..61C																						
10003	SDSS J000112.18+153535.5	J00011218+1535355	0.30075002	15.593194	2004AJ....127.3553K			L4 beta	2015ApJS..219...33G	L4 beta	2015ApJS..219...33G	VLM	15.522	0.062	14.505	0.053	13.71	0.044	0.07				beta		INT-G	OTHER	ABDMG	2015ApJS..219...33G	young							brownD*	2MASS J00011217+1535355	L4	2004AJ....127.3553K									225.97	27.46	150	-169	2008MNRAS.384.1399J									
10004	2MASS J00013044+1010146	J00013044+1010146	0.37683335	10.170723	2004AJ....127.2856B			M7	2004AJ....127.2856B	M7	2004AJ....127.2856B	VLM	15.826	0.077	15.132	0.1	15.205	0.154	-0.06																	**	2MASS J00013044+1010146	M6	2004AJ....127.2856B																						
10005	WISE J000131.93-084126.9	J00013193-084126.9	0.38304168	-8.6905556	2014ApJ...787..126L			L1 pec (blue)	2014ApJ...787..126L	L1 pec (blue)	2014ApJ...787..126L	VLM	15.71	0.05	15.71	0.05	15.71	0.05	-0.24						INT-G	SPL			blue																																
10006	SDSS J00015431-09430070	J00015431-09430070	0.47629172	-9.7168608	DHI-NP							VLM	14.791	0.036	14.168	0.041	13.817	0.056																																											
10007	SDSS J00015458-09425809	J00015458-09425809	0.47741666	-9.7161112	DHI-NP							VLM	14.022	0.041	13.441	0.045	13.143	0.045																																											
10008	SDSS J000250.98+245413.8	J00025097+2454141	0.71237504	24.903915	2006AJ....131.2722C			L5.5	2006AJ....131.2722C	L5.5	2006AJ....131.2722C	VLM	17.165	0.224	16.06	0.191	15.656	0.217	0.28						FLD-G	SPL										brownD*	2MASS J00025097+2454141	L5.5	2006AJ....131.2722C									57.88	55.9	3	-57.8	2010AJ....139.1808S									
10009	2MASS J00034248-2822449	J00034248-2822449	0.92699999	-28.379139								VLM	13.068	0.024	12.376	0.028	11.972	0.025											young companion					HD 225118		brownD*	2MASSI J0003422-282241	M7.0V	2009ApJ...699..649S		27.2		2012ApJ...758...56S			36.765		295.08	24.08	257	-145	2009AJ....137....1F	51.42255903	4.196849875	11.6	1.1	2012ApJ...758...56S				Shkolnik et al. (2012) place age at 0.3-1 Gyr
10010	LHS 102B	J00043484-4044058	1.1451666	-40.734943	1999AandA...351L...5E	L5	2001AJ....121.3235K	L4.5	2004AJ....127.3553K	L5	2001AJ....121.3235K	VLM	13.109	0.024	12.055	0.026	11.396	0.026	0.07						FLD-G	SPL			binary companion	Y				LHS 102A		brownD*	GJ  1001 B	L5+L5	2008AJ....136.1290R		76.86	3.97	2012ApJ...752...56F			13.011	0.672	1830.41	100.09	686	-1697	2007AJ....133.2258S	112.8824991	8.491024343	32.84	0.17	2010ApJ...723..684B	24.8	0.4	2010ApJ...723..684B	"binary: a=0.087+/-0.006 at 48.1+/-5.2(+/-180)deg (Golimowski et al. 2004), BC located 18.2 at 259deg from GJ 1001A on 20 Aug. 2003 (Golimowski et al. 2004)"
